Compiler,Flags,Binary_Size_KB,Mean_Time_s,Min_Time_s,Max_Time_s,StdDev_s,GFLOPS,SSE_Instr,AVX_Instr,AVX512_Instr,FMA_Instr,Correctness,Checksum
gcc,"-O0",15.97,209.727200,208.995,210.152,.4391237866,1.192,13,0,0,0,REFERENCE,b5778464ceb7ad651cf1d6118fd279af
gcc,"-O2",16.02,51.364400,50.260,54.860,1.9741075958,4.867,11,0,0,0,PASS,b5778464ceb7ad651cf1d6118fd279af
gcc,"-O3",16.02,37.716600,37.536,38.018,.1945836581,6.628,23,0,0,0,PASS,b5778464ceb7ad651cf1d6118fd279af
gcc,"-O3 -march=native -funroll-loops",16.02,35.795000,35.564,36.020,.2033814150,6.984,89,81,0,0,PASS,b5778464ceb7ad651cf1d6118fd279af
gcc,"-O3 -march=native",16.02,36.486000,36.199,36.916,.2706039541,6.851,14,13,0,0,PASS,b5778464ceb7ad651cf1d6118fd279af
gcc,"-O3 -march=native -ffast-math",17.48,36.464600,35.718,36.720,.4232183833,6.855,9,12,0,4,PASS,b5778464ceb7ad651cf1d6118fd279af
icc,"-O0",15.99,255.297400,255.144,255.457,.1353377257,.979,15,0,0,0,PASS,b5778464ceb7ad651cf1d6118fd279af
icc,"-O2",30.21,48.521000,48.152,48.696,.2162544797,5.152,108,0,0,0,PASS,b5778464ceb7ad651cf1d6118fd279af
icc,"-O3",30.21,18.322400,18.279,18.368,.0381090540,13.644,129,0,0,0,PASS,b5778464ceb7ad651cf1d6118fd279af
icc,"-O3 -xHost -funroll-loops",34.21,5.083800,5.067,5.124,.0228516957,49.175,236,130,0,63,PASS,b5778464ceb7ad651cf1d6118fd279af
icc,"-O3 -xHost",34.21,5.066800,5.059,5.071,.0049193495,49.340,236,130,0,63,PASS,b5778464ceb7ad651cf1d6118fd279af
icc,"-O3 -xHost -fp-model fast=2",34.21,5.059600,5.049,5.073,.0091815031,49.411,236,130,0,63,PASS,b5778464ceb7ad651cf1d6118fd279af
icx,"-O0",15.90,167.195800,167.012,167.405,.1712460218,1.495,14,0,0,0,PASS,b5778464ceb7ad651cf1d6118fd279af
icx,"-O2",16.00,50.028800,49.864,50.278,.2049163243,4.997,31,0,0,0,PASS,b5778464ceb7ad651cf1d6118fd279af
icx,"-O3",16.00,50.770200,50.703,50.865,.0658763994,4.924,31,0,0,0,PASS,b5778464ceb7ad651cf1d6118fd279af
icx,"-O3 -xHost -funroll-loops",34.67,4.859400,4.849,4.885,.0147749788,51.446,127,76,20,16,PASS,b5778464ceb7ad651cf1d6118fd279af
icx,"-O3 -xHost",34.67,4.852600,4.838,4.862,.0090443352,51.518,127,76,20,16,PASS,b5778464ceb7ad651cf1d6118fd279af
icx,"-O3 -xHost -fp-model=fast",34.67,5.155600,4.839,6.384,.6867305148,48.490,127,76,20,16,PASS,b5778464ceb7ad651cf1d6118fd279af
