N,Algorithm,Precision,BlockDim,TileSize,Time_s,Configuration,GFLOPS,Speedup
4100,Naive,Double,16x16,,0.72,"dim.blocks: 16x16, Double",192.52,3.09
4100,Naive,Double,32x8,,0.77,"dim.blocks: 32x8, Double",178.09,2.86
4100,Naive,Double,32x16,,0.73,"dim.blocks: 32x16, Double",188.57,3.02
4100,Naive,Double,32x32,,0.82,"dim.blocks: 32x32, Double",167.9,2.69
8200,Naive,Double,16x16,,5.86,"dim.blocks: 16x16, Double",188.31,3.01
8200,Naive,Double,32x8,,6.93,"dim.blocks: 32x8, Double",159.12,2.55
8200,Naive,Double,32x16,,7.1,"dim.blocks: 32x16, Double",155.4,2.49
8200,Naive,Double,32x32,,7.61,"dim.blocks: 32x32, Double",144.91,2.32
12300,Naive,Double,16x16,,22.87,"dim.blocks: 16x16, Double",162.73,2.61
12300,Naive,Double,32x8,,48.32,"dim.blocks: 32x8, Double",77.02,1.23
12300,Naive,Double,32x16,,44.9,"dim.blocks: 32x16, Double",82.88,1.33
12300,Naive,Double,32x32,,43.46,"dim.blocks: 32x32, Double",85.64,1.37
16400,Naive,Double,16x16,,56.49,"dim.blocks: 16x16, Double",156.18,2.5
16400,Naive,Double,32x8,,106.78,"dim.blocks: 32x8, Double",82.62,1.32
16400,Naive,Double,32x16,,102.3,"dim.blocks: 32x16, Double",86.24,1.38
16400,Naive,Double,32x32,,103.6,"dim.blocks: 32x32, Double",85.16,1.36
4100,Naive,Float,16x16,,0.34,"dim.blocks: 16x16, Float",401.87,6.44
4100,Naive,Float,32x8,,0.44,"dim.blocks: 32x8, Float",310.45,4.98
4100,Naive,Float,32x16,,0.31,"dim.blocks: 32x16, Float",450.46,7.22
4100,Naive,Float,32x32,,0.26,"dim.blocks: 32x32, Float",522.13,8.37
8200,Naive,Float,16x16,,3.2,"dim.blocks: 16x16, Float",344.39,5.51
8200,Naive,Float,32x8,,4.95,"dim.blocks: 32x8, Float",222.6,3.56
8200,Naive,Float,32x16,,2.34,"dim.blocks: 32x16, Float",470.45,7.53
8200,Naive,Float,32x32,,2.21,"dim.blocks: 32x32, Float",499.65,8.0
12300,Naive,Float,16x16,,17.0,"dim.blocks: 16x16, Float",218.87,3.5
12300,Naive,Float,32x8,,25.91,"dim.blocks: 32x8, Float",143.66,2.3
12300,Naive,Float,32x16,,10.61,"dim.blocks: 32x16, Float",350.88,5.62
12300,Naive,Float,32x32,,10.84,"dim.blocks: 32x32, Float",343.49,5.5
16400,Naive,Float,16x16,,101.08,"dim.blocks: 16x16, Float",87.27,1.4
16400,Naive,Float,32x8,,122.99,"dim.blocks: 32x8, Float",71.73,1.15
16400,Naive,Float,32x16,,26.05,"dim.blocks: 32x16, Float",338.69,5.42
16400,Naive,Float,32x32,,29.26,"dim.blocks: 32x32, Float",301.51,4.83
