N,Algorithm,Precision,BlockDim,TileSize,Time_s,Configuration,GFLOPS,Speedup
4100,Shared,Double,16x16,16.0,0.59,"dim.blocks: 16x16, tile 16, Double",233.24,3.74
4100,Shared,Double,32x8,16.0,0.62,"dim.blocks: 32x8, tile 16, Double",223.41,3.58
4100,Shared,Double,32x16,16.0,0.61,"dim.blocks: 32x16, tile 16, Double",224.5,3.6
4100,Shared,Double,32x32,16.0,0.68,"dim.blocks: 32x32, tile 16, Double",202.11,3.24
4100,Shared,Float,32x16,16.0,0.28,"dim.blocks: 32x16, tile 16, Float",492.29,7.89
4100,Shared,Float,32x16,32.0,0.21,"dim.blocks: 32x16, tile 32, Float",659.53,10.57
4100,Shared,Float,64x8,32.0,0.2,"dim.blocks: 64x8, tile 32, Float",706.88,11.33
4100,Shared,Float,32x16,64.0,0.16,"dim.blocks: 32x16, tile 64, Float",861.51,13.81
8200,Shared,Double,16x16,16.0,5.03,"dim.blocks: 16x16, tile 16, Double",219.36,3.51
8200,Shared,Double,32x8,16.0,5.3,"dim.blocks: 32x8, tile 16, Double",208.14,3.33
8200,Shared,Double,32x16,16.0,5.23,"dim.blocks: 32x16, tile 16, Double",210.81,3.37
8200,Shared,Double,32x32,16.0,5.47,"dim.blocks: 32x32, tile 16, Double",201.49,3.22
8200,Shared,Float,32x16,16.0,1.9,"dim.blocks: 32x16, tile 16, Float",580.08,9.28
8200,Shared,Float,32x16,32.0,1.62,"dim.blocks: 32x16, tile 32, Float",679.86,10.88
8200,Shared,Float,64x8,32.0,1.82,"dim.blocks: 64x8, tile 32, Float",604.24,9.67
8200,Shared,Float,32x16,64.0,1.48,"dim.blocks: 32x16, tile 64, Float",747.11,11.96
12300,Shared,Double,16x16,16.0,19.45,"dim.blocks: 16x16, tile 16, Double",191.38,3.06
12300,Shared,Double,32x8,16.0,20.24,"dim.blocks: 32x8, tile 16, Double",183.86,2.94
12300,Shared,Double,32x16,16.0,19.13,"dim.blocks: 32x16, tile 16, Double",194.52,3.11
12300,Shared,Double,32x32,16.0,18.39,"dim.blocks: 32x32, tile 16, Double",202.38,3.24
12300,Shared,Float,32x16,16.0,6.9,"dim.blocks: 32x16, tile 16, Float",538.99,8.63
12300,Shared,Float,32x16,32.0,5.85,"dim.blocks: 32x16, tile 32, Float",636.3,10.19
12300,Shared,Float,64x8,32.0,6.65,"dim.blocks: 64x8, tile 32, Float",559.83,8.96
12300,Shared,Float,32x16,64.0,5.46,"dim.blocks: 32x16, tile 64, Float",682.01,10.92
16400,Shared,Double,16x16,16.0,45.09,"dim.blocks: 16x16, tile 16, Double",195.65,3.13
16400,Shared,Double,32x8,16.0,47.34,"dim.blocks: 32x8, tile 16, Double",186.35,2.98
16400,Shared,Double,32x16,16.0,44.68,"dim.blocks: 32x16, tile 16, Double",197.46,3.16
16400,Shared,Double,32x32,16.0,43.2,"dim.blocks: 32x32, tile 16, Double",204.22,3.27
16400,Shared,Float,32x16,16.0,15.91,"dim.blocks: 32x16, tile 16, Float",554.52,8.88
16400,Shared,Float,32x16,32.0,13.79,"dim.blocks: 32x16, tile 32, Float",639.87,10.24
16400,Shared,Float,64x8,32.0,17.66,"dim.blocks: 64x8, tile 32, Float",499.54,8.0
16400,Shared,Float,32x16,64.0,13.14,"dim.blocks: 32x16, tile 64, Float",671.33,10.74
