CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,4096,1,1,4,-,0.62,222.39,3.58,89.44
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,4096,1,1,8,-,0.32,425.51,6.85,85.57
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,4096,1,1,16,-,0.65,212.75,3.42,21.39
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,4096,1,1,24,-,0.26,532.71,8.57,35.71
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,4100,1,1,4,-,0.59,234.43,3.76,93.96
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,4100,1,1,8,-,0.31,440.39,7.06,88.26
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,4100,1,1,16,-,0.29,472.06,7.57,47.3
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,4100,1,1,24,-,0.36,385.03,6.17,25.72
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,8192,1,1,4,-,4.55,241.86,3.88,96.88
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,8192,1,1,8,-,2.37,464.71,7.45,93.07
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,8192,1,1,16,-,2.06,534.0,8.56,53.48
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,8192,1,1,24,-,2.22,495.5,7.94,33.08
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,8200,1,1,4,-,4.48,245.93,3.94,98.41
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,8200,1,1,8,-,2.31,478.0,7.65,95.63
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,8200,1,1,16,-,2.24,491.2,7.86,49.14
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,8200,1,1,24,-,2.22,496.95,7.95,33.14
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,12288,1,1,4,-,15.02,246.99,3.95,98.69
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,12288,1,1,8,-,7.67,483.81,7.73,96.66
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,12288,1,1,16,-,6.91,537.26,8.59,53.67
