CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,4096,1,1,1,-,2.23,61.63,8.83
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,4100,1,1,1,-,2.21,62.29,12.23
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,8192,1,1,1,-,17.62,62.41,9.66
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,8200,1,1,1,-,17.67,62.39,12.82
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,12288,1,1,1,-,59.31,62.57,9.6
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,12300,1,1,1,-,59.59,62.46,12.83
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,16400,1,1,1,-,141.2,62.48,12.84
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-seq,16384,1,1,1,-,140.92,62.42,9.67
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,4096,1,1,1,-,2.21,62.16,8.9
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,4100,1,1,1,-,2.21,62.32,12.24
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,8192,1,1,1,-,17.62,62.41,9.66
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,8200,1,1,1,-,17.65,62.46,12.83
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,12288,1,1,1,-,59.31,62.57,9.6
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,12300,1,1,1,-,59.63,62.41,12.82
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,16384,1,1,1,-,140.87,62.44,9.67
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,16400,1,1,1,-,141.35,62.41,12.82
