CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4096,1,1,4,-,10.13,13.57,1.94,48.5
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4096,1,1,8,-,8.79,15.64,2.24,28.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4096,1,1,16,-,9.11,15.09,2.16,13.5
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4096,1,1,24,-,8.98,15.3,2.19,9.12
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4100,1,1,4,-,10.18,13.54,1.86,46.5
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4100,1,1,8,-,8.78,15.7,2.16,27.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4100,1,1,16,-,9.42,14.63,2.01,12.56
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4100,1,1,24,-,10.7,12.88,1.77,7.38
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8192,1,1,4,-,84.68,12.98,2.01,50.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8192,1,1,8,-,69.23,15.88,2.46,30.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8192,1,1,16,-,72.69,15.13,2.34,14.62
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8192,1,1,24,-,70.85,15.52,2.4,10.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8200,1,1,4,-,92.66,11.9,1.65,41.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8200,1,1,8,-,70.79,15.58,2.16,27.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8200,1,1,16,-,74.04,14.89,2.06,12.88
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8200,1,1,24,-,71.3,15.47,2.14,8.92
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12288,1,1,4,-,286.04,12.97,1.99,49.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12288,1,1,8,-,239.35,15.5,2.38,29.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12288,1,1,16,-,242.26,15.32,2.35,14.69
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12288,1,1,24,-,239.34,15.5,2.38,9.92
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12300,1,1,4,-,292.59,12.72,1.96,49.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12300,1,1,8,-,241.01,15.44,2.38,29.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12300,1,1,16,-,244.48,15.22,2.34,14.62
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12300,1,1,24,-,240.11,15.5,2.38,9.92
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16400,1,1,4,-,745.24,11.84,1.82,45.5
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16400,1,1,8,-,571.93,15.42,2.37,29.62
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16400,1,1,16,-,581.25,15.18,2.34,14.62
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16400,1,1,24,-,569.4,15.49,2.38,9.92
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16384,1,1,4,-,669.12,13.15,2.04,51.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16384,1,1,8,-,570.21,15.43,2.39,29.88
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16384,1,1,16,-,572.81,15.36,2.38,14.88
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16384,1,1,24,-,565.07,15.57,2.41,10.04
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4096,1,1,4,-,11.14,12.34,1.77,44.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4096,1,1,8,-,8.96,15.34,2.2,27.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4096,1,1,16,-,9.79,14.04,2.01,12.56
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4096,1,1,24,-,9.02,15.24,2.18,9.08
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4100,1,1,4,-,11.2,12.31,1.69,42.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4100,1,1,8,-,8.87,15.54,2.14,26.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4100,1,1,16,-,9.85,14.0,1.93,12.06
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4100,1,1,24,-,10.98,12.56,1.73,7.21
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8192,1,1,4,-,86.57,12.7,1.97,49.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8192,1,1,8,-,70.91,15.51,2.4,30.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8192,1,1,16,-,72.97,15.07,2.33,14.56
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8192,1,1,24,-,71.1,15.46,2.39,9.96
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8200,1,1,4,-,88.5,12.46,1.73,43.25
