CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4096,1,1,4,-,10.13,13.57,0.22,5.46
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4096,1,1,8,-,8.79,15.64,0.25,3.14
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4096,1,1,16,-,9.11,15.09,0.24,1.52
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4096,1,1,24,-,8.98,15.3,0.25,1.03
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4100,1,1,4,-,10.18,13.54,0.22,5.43
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4100,1,1,8,-,8.78,15.7,0.25,3.15
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4100,1,1,16,-,9.42,14.63,0.23,1.47
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4100,1,1,24,-,10.7,12.88,0.21,0.86
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8192,1,1,4,-,84.68,12.98,0.21,5.2
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8192,1,1,8,-,69.23,15.88,0.25,3.18
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8192,1,1,16,-,72.69,15.13,0.24,1.51
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8192,1,1,24,-,70.85,15.52,0.25,1.04
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8200,1,1,4,-,92.66,11.9,0.19,4.76
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8200,1,1,8,-,70.79,15.58,0.25,3.12
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8200,1,1,16,-,74.04,14.89,0.24,1.49
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,8200,1,1,24,-,71.3,15.47,0.25,1.03
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12288,1,1,4,-,286.04,12.97,0.21,5.18
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12288,1,1,8,-,239.35,15.5,0.25,3.1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12288,1,1,16,-,242.26,15.32,0.24,1.53
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12288,1,1,24,-,239.34,15.5,0.25,1.03
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12300,1,1,4,-,292.59,12.72,0.2,5.09
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12300,1,1,8,-,241.01,15.44,0.25,3.09
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12300,1,1,16,-,244.48,15.22,0.24,1.52
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,12300,1,1,24,-,240.11,15.5,0.25,1.03
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16400,1,1,4,-,745.24,11.84,0.19,4.74
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16400,1,1,8,-,571.93,15.42,0.25,3.09
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16400,1,1,16,-,581.25,15.18,0.24,1.52
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16400,1,1,24,-,569.4,15.49,0.25,1.03
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16384,1,1,4,-,669.12,13.15,0.21,5.26
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16384,1,1,8,-,570.21,15.43,0.25,3.09
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16384,1,1,16,-,572.81,15.36,0.25,1.54
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,16384,1,1,24,-,565.07,15.57,0.25,1.04
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4096,1,1,4,-,11.14,12.34,0.2,4.96
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4096,1,1,8,-,8.96,15.34,0.25,3.08
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4096,1,1,16,-,9.79,14.04,0.23,1.41
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4096,1,1,24,-,9.02,15.24,0.25,1.02
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4100,1,1,4,-,11.2,12.31,0.2,4.93
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4100,1,1,8,-,8.87,15.54,0.25,3.11
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4100,1,1,16,-,9.85,14.0,0.22,1.4
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4100,1,1,24,-,10.98,12.56,0.2,0.84
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8192,1,1,4,-,86.57,12.7,0.2,5.09
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8192,1,1,8,-,70.91,15.51,0.25,3.11
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8192,1,1,16,-,72.97,15.07,0.24,1.51
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8192,1,1,24,-,71.1,15.46,0.25,1.03
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8200,1,1,4,-,88.5,12.46,0.2,4.99
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8200,1,1,8,-,72.51,15.21,0.24,3.04
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8200,1,1,16,-,72.9,15.13,0.24,1.51
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8200,1,1,24,-,73.3,15.04,0.24,1.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12288,1,1,4,-,315.57,11.76,0.19,4.7
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12288,1,1,8,-,246.9,15.03,0.24,3.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12288,1,1,16,-,243.82,15.22,0.24,1.52
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12288,1,1,24,-,241.4,15.37,0.25,1.02
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12300,1,1,4,-,317.78,11.71,0.19,4.69
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12300,1,1,8,-,248.09,15.0,0.24,3.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12300,1,1,16,-,247.73,15.02,0.24,1.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12300,1,1,24,-,240.93,15.45,0.25,1.03
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16400,1,1,4,-,698.55,12.63,0.2,5.05
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16400,1,1,8,-,589.6,14.96,0.24,2.99
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16400,1,1,16,-,583.87,15.11,0.24,1.51
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16400,1,1,24,-,571.81,15.43,0.25,1.03
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16384,1,1,4,-,692.49,12.7,0.2,5.09
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16384,1,1,8,-,584.16,15.06,0.24,3.01
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16384,1,1,16,-,582.01,15.11,0.24,1.51
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16384,1,1,24,-,568.65,15.47,0.25,1.03
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4096,1,1,4,-,3.16,43.47,0.7,17.48
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4096,1,1,8,-,1.58,86.77,1.4,17.45
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4096,1,1,16,-,2.07,66.36,1.07,6.67
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4096,1,1,24,-,0.92,149.07,2.4,9.99
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4100,1,1,4,-,1.07,128.46,2.06,51.49
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4100,1,1,8,-,0.63,217.76,3.49,43.64
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4100,1,1,16,-,1.1,124.74,2.0,12.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4100,1,1,24,-,0.87,158.44,2.54,10.58
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8192,1,1,4,-,27.13,40.53,0.65,16.23
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8192,1,1,8,-,14.44,76.16,1.22,15.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8192,1,1,16,-,20.3,54.16,0.87,5.42
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8192,1,1,24,-,13.33,82.5,1.32,5.51
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8200,1,1,4,-,7.69,143.45,2.3,57.4
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8200,1,1,8,-,4.79,230.26,3.69,46.07
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8200,1,1,16,-,6.9,159.77,2.56,15.98
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,8200,1,1,24,-,5.2,212.23,3.4,14.15
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12288,1,1,4,-,87.18,42.56,0.68,17.01
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12288,1,1,8,-,46.74,79.39,1.27,15.86
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12288,1,1,16,-,60.67,61.17,0.98,6.11
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12288,1,1,24,-,46.63,79.58,1.27,5.3
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12300,1,1,4,-,18.92,196.66,3.15,78.72
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12300,1,1,8,-,13.41,277.55,4.44,55.55
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12300,1,1,16,-,22.81,163.18,2.61,16.33
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,12300,1,1,24,-,17.87,208.26,3.33,13.89
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16400,1,1,4,-,62.14,141.98,2.27,56.81
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16400,1,1,8,-,39.61,222.74,3.57,44.56
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16400,1,1,16,-,55.32,159.48,2.55,15.95
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16400,1,1,24,-,43.9,200.93,3.22,13.4
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16384,1,1,4,-,235.73,37.31,0.6,14.94
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16384,1,1,8,-,124.45,70.68,1.13,14.15
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16384,1,1,16,-,127.58,68.95,1.1,6.9
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,16384,1,1,24,-,57.79,152.21,2.44,10.16
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4100,1,1,1,-,20.71,6.65,0.11,10.67
12th Gen Intel(R) Core(TM) i9-12900K,gcc,mpi-ikj,4100,1,1,2,-,12.05,11.44,0.18,9.17
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4100,1,1,1,-,20.61,6.69,0.11,10.72
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,4100,1,1,2,-,11.99,11.5,0.18,9.22
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-ikj,4100,1,1,1,-,4.15,33.18,0.53,53.2
