CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,4096,1,1,4,-,8.98,15.31,0.25,6.16
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,4096,1,1,16,-,8.68,15.84,0.25,1.59
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,4100,1,1,4,-,8.92,15.46,0.25,6.2
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,4100,1,1,16,-,8.79,15.68,0.25,1.57
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,8192,1,1,4,-,80.54,13.65,0.22,5.47
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,8192,1,1,16,-,73.58,14.94,0.24,1.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,8200,1,1,4,-,87.94,12.54,0.2,5.02
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,8200,1,1,16,-,72.29,15.25,0.24,1.53
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,12288,1,1,4,-,301.96,12.29,0.2,4.91
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,12288,1,1,16,-,250.29,14.83,0.24,1.48
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,12300,1,1,4,-,276.83,13.44,0.22,5.38
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,12300,1,1,16,-,245.92,15.13,0.24,1.51
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,16400,1,1,4,-,666.98,13.23,0.21,5.29
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,16400,1,1,16,-,578.02,15.26,0.24,1.53
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,16384,1,1,4,-,688.98,12.77,0.2,5.11
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,16384,1,1,16,-,571.05,15.4,0.25,1.54
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,4096,1,1,4,-,9.28,14.81,0.24,5.96
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,4096,1,1,16,-,8.91,15.42,0.25,1.55
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,4100,1,1,4,-,9.43,14.62,0.23,5.86
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,4100,1,1,16,-,9.04,15.25,0.24,1.53
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,8192,1,1,4,-,89.46,12.29,0.2,4.92
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,8192,1,1,16,-,75.66,14.53,0.23,1.46
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,8200,1,1,4,-,84.64,13.03,0.21,5.21
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,8200,1,1,16,-,75.55,14.6,0.23,1.46
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,12288,1,1,4,-,316.88,11.71,0.19,4.68
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,12288,1,1,16,-,243.74,15.22,0.24,1.52
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,12300,1,1,4,-,297.92,12.49,0.2,5.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,12300,1,1,16,-,245.3,15.17,0.24,1.52
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,16400,1,1,4,-,775.37,11.38,0.18,4.55
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,16400,1,1,16,-,616.03,14.32,0.23,1.43
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,16384,1,1,4,-,727.98,12.08,0.19,4.84
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,16384,1,1,16,-,612.97,14.35,0.23,1.44
