CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4096,1,1,4,-,6.42,21.41,3.07,76.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4096,1,1,8,-,4.93,27.86,3.99,49.88
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4096,1,1,16,-,3.76,36.59,5.24,32.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4096,1,1,24,-,2.47,55.64,7.97,33.21
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4100,1,1,4,-,6.9,19.98,2.75,68.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4100,1,1,8,-,5.28,26.12,3.59,44.88
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4100,1,1,16,-,3.81,36.17,4.98,31.13
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4100,1,1,24,-,2.5,55.09,7.58,31.58
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8192,1,1,4,-,56.93,19.31,2.99,74.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8192,1,1,8,-,43.19,25.46,3.94,49.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8192,1,1,16,-,35.63,30.86,4.78,29.88
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8192,1,1,24,-,21.7,50.68,7.85,32.71
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8200,1,1,4,-,57.2,19.28,2.67,66.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8200,1,1,8,-,43.2,25.53,3.54,44.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8200,1,1,16,-,36.48,30.23,4.19,26.19
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8200,1,1,24,-,21.69,50.84,7.04,29.33
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12288,1,1,4,-,191.94,19.33,2.97,74.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12288,1,1,8,-,145.78,25.46,3.91,48.88
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12288,1,1,16,-,120.87,30.7,4.71,29.44
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12288,1,1,24,-,81.45,45.56,6.99,29.12
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12300,1,1,4,-,192.79,19.3,2.97,74.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12300,1,1,8,-,145.93,25.5,3.92,49.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12300,1,1,16,-,115.59,32.2,4.95,30.94
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12300,1,1,24,-,72.93,51.03,7.85,32.71
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,16400,1,1,4,-,458.26,19.25,2.96,74.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,16400,1,1,8,-,344.97,25.57,3.94,49.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,16400,1,1,16,-,286.87,30.75,4.73,29.56
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,16400,1,1,24,-,189.98,46.44,7.15,29.79
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,16384,1,1,4,-,454.65,19.35,3.0,75.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,16384,1,1,8,-,345.12,25.49,3.95,49.38
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,16384,1,1,16,-,276.97,31.76,4.92,30.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,16384,1,1,24,-,188.89,46.57,7.21,30.04
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,4,16,2.86,48.09,6.89,172.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,4,32,1.98,69.34,9.93,248.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,4,64,3.08,44.62,6.39,159.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,4,128,3.62,38.02,5.45,136.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,8,16,1.46,94.01,13.47,168.38
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,8,32,1.25,109.69,15.71,196.38
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,8,64,1.99,69.06,9.89,123.62
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,8,128,2.05,66.98,9.59,119.88
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,16,16,1.52,90.18,12.92,80.75
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,16,32,1.34,102.34,14.66,91.62
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,16,64,1.43,95.84,13.73,85.81
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,16,128,1.72,79.72,11.42,71.38
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,24,16,1.28,107.63,15.42,64.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,24,32,1.29,106.54,15.26,63.58
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,24,64,1.53,89.77,12.86,53.58
