CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4096,1,1,4,-,6.42,21.41,0.34,8.61
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4096,1,1,8,-,4.93,27.86,0.45,5.6
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4096,1,1,16,-,3.76,36.59,0.59,3.68
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4096,1,1,24,-,2.47,55.64,0.9,3.73
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4100,1,1,4,-,6.9,19.98,0.32,8.01
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4100,1,1,8,-,5.28,26.12,0.42,5.23
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4100,1,1,16,-,3.81,36.17,0.58,3.62
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,4100,1,1,24,-,2.5,55.09,0.88,3.68
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8192,1,1,4,-,56.93,19.31,0.31,7.74
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8192,1,1,8,-,43.19,25.46,0.41,5.1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8192,1,1,16,-,35.63,30.86,0.49,3.09
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8192,1,1,24,-,21.7,50.68,0.81,3.38
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8200,1,1,4,-,57.2,19.28,0.31,7.71
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8200,1,1,8,-,43.2,25.53,0.41,5.11
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8200,1,1,16,-,36.48,30.23,0.48,3.02
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,8200,1,1,24,-,21.69,50.84,0.81,3.39
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-ikj,12288,1,1,4,-,191.94,19.33,0.31,7.73
