CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,4,64,0.74,185.48,2.98,74.6
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,8,64,0.51,271.62,4.37,54.62
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,16,64,0.46,299.43,4.82,30.11
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,24,64,0.52,264.31,4.25,17.72
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,4,64,0.72,192.25,3.08,77.06
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,8,64,0.48,287.17,4.6,57.55
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,16,64,0.45,305.64,4.9,30.63
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,24,64,0.44,313.28,5.02,20.93
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,4,64,5.65,194.5,3.12,77.91
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,8,64,3.62,303.65,4.87,60.82
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,16,64,3.36,327.72,5.25,32.82
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,24,64,3.33,329.89,5.29,22.02
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8200,1,1,4,64,5.54,199.09,3.19,79.66
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8200,1,1,8,64,3.52,313.37,5.02,62.7
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8200,1,1,16,64,3.49,315.79,5.05,31.59
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8200,1,1,24,64,3.32,331.65,5.31,22.12
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12288,1,1,4,64,19.33,192.0,3.07,76.72
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12288,1,1,8,64,13.21,280.89,4.49,56.12
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12288,1,1,16,64,10.81,343.41,5.49,34.3
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12288,1,1,24,64,10.68,347.46,5.55,23.14
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12300,1,1,4,64,18.66,199.43,3.19,79.83
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12300,1,1,8,64,12.72,292.5,4.68,58.54
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12300,1,1,16,64,11.07,336.32,5.38,33.66
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,12300,1,1,24,64,10.27,362.46,5.8,24.18
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16400,1,1,4,64,44.5,198.26,3.17,79.33
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16400,1,1,8,64,28.23,312.52,5.0,62.53
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16400,1,1,16,64,26.94,327.5,5.24,32.76
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16400,1,1,24,64,24.63,358.23,5.73,23.89
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16384,1,1,4,64,46.58,188.82,3.02,75.6
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16384,1,1,8,64,29.59,297.25,4.76,59.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16384,1,1,16,64,26.25,335.13,5.37,33.54
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,16384,1,1,24,64,25.32,347.33,5.56,23.18
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4096,1,1,4,64,0.8,171.16,2.75,68.84
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4096,1,1,8,64,0.48,287.53,4.63,57.82
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4096,1,1,16,64,0.45,306.1,4.92,30.78
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4096,1,1,24,64,0.46,302.06,4.86,20.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4100,1,1,4,64,0.7,195.52,3.13,78.37
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4100,1,1,8,64,0.47,290.81,4.66,58.28
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4100,1,1,16,64,0.45,305.64,4.9,30.63
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4100,1,1,24,64,0.44,313.28,5.02,20.93
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8192,1,1,4,64,5.68,193.51,3.1,77.51
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8192,1,1,8,64,3.63,303.23,4.86,60.73
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8192,1,1,16,64,3.35,328.21,5.26,32.87
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8192,1,1,24,64,3.44,319.9,5.13,21.36
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8200,1,1,4,64,5.46,201.82,3.23,80.76
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8200,1,1,8,64,3.67,300.23,4.81,60.07
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8200,1,1,16,64,3.49,315.7,5.05,31.58
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8200,1,1,24,64,3.35,329.27,5.27,21.96
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12288,1,1,4,64,19.23,192.99,3.08,77.11
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12288,1,1,8,64,13.03,284.79,4.55,56.9
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12288,1,1,16,64,10.77,344.43,5.5,34.41
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12288,1,1,24,64,10.66,347.95,5.56,23.17
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12300,1,1,4,64,18.78,198.21,3.17,79.34
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12300,1,1,8,64,12.06,308.58,4.94,61.76
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12300,1,1,16,64,11.14,334.09,5.35,33.43
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12300,1,1,24,64,10.86,342.86,5.49,22.87
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16400,1,1,4,64,45.42,194.25,3.11,77.73
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16400,1,1,8,64,28.66,307.83,4.93,61.59
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16400,1,1,16,64,27.17,324.68,5.2,32.48
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16400,1,1,24,64,24.88,354.59,5.68,23.65
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16384,1,1,4,64,45.62,192.82,3.09,77.2
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16384,1,1,8,64,29.85,294.64,4.72,58.98
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16384,1,1,16,64,26.17,336.16,5.38,33.65
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16384,1,1,24,64,25.24,348.43,5.58,23.25
