CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,4096,0,0,1,-,19.69,6.98,1.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,4096,1,1,1,-,20.44,6.72,0.96
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,4100,0,0,1,-,18.96,7.27,1.43
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,4100,1,1,1,-,20.41,6.75,1.33
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,8192,0,0,1,-,170.23,6.46,1.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,8192,1,1,1,-,168.59,6.52,1.01
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,8200,0,0,1,-,152.72,7.22,1.48
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,8200,1,1,1,-,152.14,7.25,1.49
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,12288,0,0,1,-,569.46,6.52,1.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,12288,1,1,1,-,577.52,6.43,0.99
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,12300,0,0,1,-,572.53,6.5,1.34
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,12300,1,1,1,-,579.6,6.42,1.32
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,16400,0,0,1,-,1357.98,6.5,1.33
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,16400,1,1,1,-,1221.44,7.22,1.48
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,16384,0,0,1,-,1362.31,6.46,1.0
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-ikj,16384,1,1,1,-,1375.8,6.39,0.99
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-ikj,4096,0,0,1,-,20.12,6.83,0.98
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-ikj,4096,1,1,1,-,20.15,6.82,0.98
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-ikj,4100,0,0,1,-,20.22,6.82,1.34
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-ikj,4100,1,1,1,-,20.23,6.81,1.34
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-ikj,8192,0,0,1,-,165.91,6.63,1.03
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-ikj,8192,1,1,1,-,166.47,6.61,1.02
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-ikj,8200,0,0,1,-,166.2,6.63,1.36
