CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,4096,1,1,1,16,6.8,20.2,2.89
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,4096,1,1,1,32,5.88,23.37,3.35
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,4096,1,1,1,64,13.28,10.35,1.48
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,4096,1,1,1,128,11.85,11.6,1.66
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,4100,1,1,1,16,5.88,23.44,3.22
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,4100,1,1,1,32,5.84,23.62,3.25
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,4100,1,1,1,64,4.96,27.8,3.82
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,4100,1,1,1,128,6.25,22.07,3.04
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,8192,1,1,1,16,55.59,19.78,3.06
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,8192,1,1,1,32,95.94,11.46,1.77
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,8192,1,1,1,64,129.91,8.46,1.31
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,8192,1,1,1,128,94.56,11.63,1.8
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,8200,1,1,1,16,44.94,24.54,3.4
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,8200,1,1,1,32,42.27,26.09,3.61
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,8200,1,1,1,64,30.48,36.18,5.01
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,8200,1,1,1,128,47.11,23.41,3.24
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,12288,1,1,1,16,188.16,19.72,3.03
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,12288,1,1,1,32,160.32,23.15,3.55
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,12288,1,1,1,64,355.66,10.43,1.6
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,12288,1,1,1,128,330.18,11.24,1.72
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,12300,1,1,1,16,152.0,24.49,3.77
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,12300,1,1,1,32,159.51,23.33,3.59
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,12300,1,1,1,64,103.54,35.95,5.53
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,12300,1,1,1,128,128.68,28.92,4.45
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,16400,1,1,1,16,389.51,22.65,3.49
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,16400,1,1,1,32,341.43,25.84,3.98
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,16400,1,1,1,64,245.83,35.89,5.52
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,16400,1,1,1,128,400.26,22.04,3.39
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,16384,1,1,1,16,670.32,13.12,2.03
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,16384,1,1,1,32,891.44,9.87,1.53
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,16384,1,1,1,64,1011.19,8.7,1.35
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-tile,16384,1,1,1,128,859.02,10.24,1.59
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,4096,1,1,1,16,10.64,12.91,1.85
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,4096,1,1,1,32,7.55,18.19,2.61
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,4096,1,1,1,64,12.62,10.89,1.56
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,4096,1,1,1,128,12.38,11.1,1.59
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,4100,1,1,1,16,11.17,12.34,1.7
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,4100,1,1,1,32,6.82,20.2,2.78
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,4100,1,1,1,64,8.24,16.74,2.3
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,4100,1,1,1,128,6.13,22.5,3.1
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8192,1,1,1,16,84.99,12.94,2.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8192,1,1,1,32,101.16,10.87,1.68
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8192,1,1,1,64,126.53,8.69,1.35
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8192,1,1,1,128,105.83,10.39,1.61
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8200,1,1,1,16,93.03,11.85,1.64
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8200,1,1,1,32,57.91,19.04,2.64
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8200,1,1,1,64,76.99,14.32,1.98
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,8200,1,1,1,128,63.93,17.25,2.39
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12288,1,1,1,16,299.3,12.4,1.9
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12288,1,1,1,32,212.77,17.44,2.68
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12288,1,1,1,64,342.35,10.84,1.66
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12288,1,1,1,128,362.73,10.23,1.57
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12300,1,1,1,16,301.12,12.36,1.9
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12300,1,1,1,32,182.24,20.42,3.14
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12300,1,1,1,64,147.16,25.29,3.89
